GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS831992758	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr1163259	S61760657	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS827774710	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr54836	S61439015	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS841710339	2023-03-17 19:43:57.377694	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4				Male, Adult (1); Unknown Sex, Juvenile (2); Female, Adult (1)	Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-15	11:00:00	obsr382575	S62592049	Traveling	P22	EBIRD	45	0.300		13	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS826898284	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4				Male, Adult (1); Unknown Sex, Juvenile (2); Female, Adult (1)	Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-06	16:30:00	obsr192381	S61367817	Traveling	P22	EBIRD	120	4.000		4	1	G4660670	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS834565240	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr294676	S61963583	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS830077963	2023-03-17 21:32:22.149755	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				3				Unknown Sex, Juvenile (2); Female, Adult (1)	Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-15	17:35:00	obsr328964	S61615355	Traveling	P22	EBIRD_CL	95	15.000		3	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS832360639	2023-03-18 17:38:16.971431	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				2					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Embalse El Yeso--Vegas superiores	L594542	H	-33.6250545	-70.0251281	2019-11-25	01:12:00	obsr1273058	S61790188	Traveling	P22	EBIRD_CL	45	0.800		2	1	G4700670	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS826948656	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				1					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-07	09:00:00	obsr600680	S61371932	Traveling	P22	EBIRD	150	6.000		4	1	G4661023	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS835612653	2023-03-17 19:43:57.377694	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-18	10:00:00	obsr287974	S62114389	Traveling	P22	EBIRD	135	5.000		11	1	G4727388	1	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS1259119336	2023-03-17 19:43:57.377694	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-18	10:00:00	obsr231509	S96231918	Traveling	P22	EBIRD	135	5.000		11	1	G4727388	1	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS835999497	2023-03-17 21:32:22.149755	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Laguna de los Patos	L4444177	H	-33.6044152	-69.9186981	2019-12-07	13:55:00	obsr1273058	S62142623	Traveling	P22	EBIRD	265	5.940		4	1	G4730373	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS837179666	2023-03-17 21:32:22.149755	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL	Unknown Sex, Juvenile (2); Unknown Sex, Adult (2)	Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-12-02	11:30:00	obsr498368	S62235008	Traveling	P22	EBIRD	90	2.000		4	1	G4716733	1	1	0			Los mismos pollos vistos hace 1,5 meses(recién nacidos)  ya están grandes y emplumados¡¡¡¡	
URN:CornellLabOfOrnithology:EBIRD:OBS836674138	2023-03-17 21:32:22.149755	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Laguna de los Patos	L4444177	H	-33.6044152	-69.9186981	2019-12-07	13:55:00	obsr959552	S62194070	Traveling	P22	EBIRD	265	5.940		4	1	G4730373	0	1	0				
